TestID,SN,Time,Result,,,,测试项目,VolTest,,,,单位,N/A,,,,数值下限,N/A,,,,数值上限,N/A,
1,,04: 37: 00,False,False COMPORT ERROR： COM13  Access to the port 'COM13' is denied.,
1,,04: 38: 41,False,False COMPORT ERROR： COM13  Index was outside the bounds of the array.,
1,,04: 40: 41,False,False COMPORT ERROR： COM13  Index was outside the bounds of the array.,
2,,04: 40: 45,False,False COMPORT ERROR： COM13  Index was outside the bounds of the array.,
1,,04: 40: 46,False,False COMPORT ERROR： COM13  Index was outside the bounds of the array.,
1,,04: 41: 12,False,False COMPORT ERROR： COM13  Index was outside the bounds of the array.,
1,,04: 41: 22,False,False COMPORT ERROR： COM13  Index was outside the bounds of the array.,
2,,04: 43: 54,False,False COMPORT ERROR： COM13  The port 'COM13' does not exist.,
1,,04: 43: 56,False,False COMPORT ERROR： COM13  The port 'COM13' does not exist.,
1,,04: 44: 12,False,False COMPORT ERROR： COM13  The port 'COM13' does not exist.,
2,,04: 44: 13,False,False COMPORT ERROR： COM13  The port 'COM13' does not exist.,
1,,04: 46: 30,False,0.15,
1,,04: 55: 14,False,0.04,
2,,04: 55: 40,False,0.05,
1,,05: 08: 00,False,0.01,
1,,05: 11: 31,False,False COMPORT ERROR： COM14  The port 'COM13' does not exist.,
1,,05: 12: 39,True,0.01,
2,,05: 12: 44,False,False COMPORT ERROR： COM14  The port 'COM15' does not exist.,
1,,05: 31: 26,False,0.17,,,,,
1,,05: 32: 00,False,0.09,0.05,0.02,-3.49,False channel error,
1,,05: 33: 00,False,0.04,0.03,0.01,-3.48,False channel error,
1,,05: 33: 33,False,0.09,0.11,0.01,-3.48,False null,
1,,05: 34: 38,False,0.01,0.01,0.04,False null,,
1,,05: 37: 27,True,0.08,0.10,0.01,-3.49,-0.57,
1,,05: 38: 08,False,0.00,0.00,0.07,False null,,
1,,05: 38: 53,True,0.91,0.04,0.01,-3.48,-0.48,
1,,05: 39: 11,True,1.56,0.05,0.01,-3.34,-0.41,
1,,05: 48: 23,True,0.01,0.02,0.01,-3.48,-0.66,
,TE_BZP_EN_TEST,06: 02: 51,True,标准品,True,
