TestID,SN,Time,Result,,,,测试项目,拔掉蛇管,,,,单位,N/A,,,,数值下限,N/A,,,,数值上限,N/A,
,,01: 40: 08,True,True,
,,01: 44: 18,False,False,
,,01: 44: 25,True,True,
,,02: 16: 39,True,True,
,,02: 16: 50,False,False,
,,02: 20: 27,True,True,
,,02: 20: 52,False,False,
,,02: 23: 37,True,True,
,,02: 23: 58,True,True,
,,02: 26: 13,True,True,
,,02: 26: 28,False,False,
,,02: 33: 29,True,True,
,,02: 33: 41,False,False,
,,02: 35: 05,True,True,
,,02: 35: 20,True,True,
,,02: 35: 30,True,True,
,,02: 40: 25,False,False,
,,02: 40: 29,True,True,
,,02: 40: 40,True,True,
,,02: 40: 49,True,True,
,,02: 40: 57,True,True,
,,02: 41: 07,True,True,
,,02: 41: 11,True,True,
,,02: 41: 17,True,True,
,,02: 41: 20,True,True,
,,02: 41: 25,True,True,
,,02: 41: 29,True,True,
,,02: 44: 29,False,False,
,,02: 44: 32,False,False,
,,02: 44: 42,True,True,
,,03: 09: 08,True,True,
,,03: 09: 09,True,True,
,,03: 09: 11,True,True,
,,03: 09: 12,True,True,
,,03: 09: 14,True,True,
,,03: 09: 17,False,False,
,,05: 58: 58,True,True,
,,05: 59: 15,True,True,
,,05: 59: 18,True,True,
,,05: 59: 20,True,True,
,,06: 07: 23,True,True,
,,06: 07: 30,True,True,
,,06: 07: 34,True,True,
,,06: 07: 37,True,True,
,,06: 07: 41,False,False,
,,06: 13: 24,True,True,
,,06: 13: 30,True,True,
,,06: 13: 36,False,False,
,,06: 13: 38,True,True,
,,06: 13: 40,True,True,
,,06: 14: 02,True,True,
